jiage,mingcheng
680,乐城 5房2厅 170.92平 毛坯 西南看花园居家安静
430,乐城 此房方正通透光亮洁净如新，地 铁 口房源
1800,星河时代花园 叠加别墅 上下二层 南北通 红本在手 看房方便
300,龙珠花园(龙岗) 业主从内地特意深圳售房，满两年，朝南三房
450,城投七里香榭 2房2厅 73.64平 精装装修 南
930,华联城市全景 店长推荐 南北通透大4房 居家安静 价格实惠
435,东方沁园 地铁口南北通大三房，高楼层，红本无税，急卖视野广
256,中粮世家 业主精装修3房
660,水木丹华 西丽塘朗片区精装三房 红本在手 
1300,信义假日名城三期 豪华装修 使用率超高 三世同堂不是梦
176,锦绣江南四期 单间可隔一房一厅红本房 紧挨龙华山姆会员店
500,振业峦山谷 大四房 南北通透 居家安静
600,黄阁翠苑 毛坯 4室2厅1厨2卫 赠送一个大花园
168,"信义御城 精装2房，民水民电，通燃气，端头位,采光好！"
450,颐安都会中央 三房二厅一卫 精装修 客厅出阳台 看房方便
630,金地梅陇镇 金地梅陇镇大3房，业主急卖
490,富通城四期 客厅出大阳台 满五年红本在手 看海景
175,远洋新干线 南联地m铁 精装2房 厅出阳台通燃气 不限购不限贷
112,茂业城 近地铁 公立 刚需一房 满两年 户型方正 有钥匙
480,万科四季花城二期 南北通透三房，安静，楼层佳
385,中海康城国际 大运片区 精装三房 双龙抱珠 少有户型 南向 税少
490,星海名城一期 居家安静两房 朝南看花园 温馨舒适 业主很诚心卖
505,信义假日名城三期 南北通透 宽绰大3房 双阳台 高层满2年
168,信义御城 精装两房，商务公寓，70年大产权
280,金众蓝钻 离梦想很近，实现舒适三房奢华生活，新婚家居必备
310,信义假日名城三期 精装南两房拎包入住
350,远洋新干线 三号线南联 高楼层 采光好 住家三房
318,桂芳园六期 满五年 红本在手 费用少 户型方正实用 视野广阔
800,金地梅陇镇 精装大4房看房有钥匙税费少
435,乐城 龙岗横岗荷坳地铁站 精装3+1房 地下三层停车库
310,信义御城 中高楼层 厅出阳台实用两房 装修保养好 诚售
310,富通御岭公馆 碧头地铁枢纽站 精装三房 学.区房 带租.约出售
226,桐林城市广场 可读南华实验小学 福南小学 房 公园旁的家寻有缘人
385,世外桃源 高层电梯小三房 住家温馨 视野开阔 随时看房
600,公园大地五期 精装修3房 3阳台，全明户型 南北通透
160,乐城 精装修1房1厅看花园 满五红本在手税费用少总价低
95,金众蓝钻 坪山高铁站附近 36.33平精装单房 仅售90万
450,印象家园二期 京基御景印象家园二期全新精装超大三房出售
240,乐城 地鉄口物业 精致2房 满两年 税费少 住家安静
800,乐城 荷坳站 171平精装大5房 厅出阳台 仅售800万
340,信义御城 精装2房 厅出阳台 朝南向 保养好
390,金地梅陇镇 高楼层大两房，视野很好，采光好
555,合正园 精致装修 大三房 可改四房 116平米 户型方正
425,金地梅陇镇 精装大两房无税 超大阳台自住舒适 花园景观尽收眼底
205,龙珠花园(龙岗) 双地 铁 口 精装修 满五年 税费少 送家私电器
170,信和爱琴居 06年社区 精装一房一厅 可改两房 满五 红本在手
360,同和悦园 凤凰山脚下深南大道旁客厅出阳台大两房
280,中城康桥花园二期 刚放新盘，280万看上可以谈，红本在手，满五年
330,信义假日名城三期 朝花园两房 安静居家 满五年红本在手 少有放卖
550,景和园 布吉笋盘好多，只找Q房网宋春峰，5房89平550万
560,桃源居五区 精装复式 青龙格局 旺家旺财 税费少 业主急售
380,中海怡美山庄 复式四房两厅正南向安静红本满五税少
210,远洋新干线 南联地铁站步行俩百米+精装俩房+即买即赚月租抵月供
405,宝安新村 公务员社区 宝安公园旁 无税 低于同户型20万
399,中海康城国际 如您所见!大运白云蓝天 东南向优质精装性价比3房
680,鸿荣源尚峰 视野无遮挡 看花园游泳池 南朝向采光通风好
105,东方瑞景苑 紧邻三号线双龙站 900米内可抵达天虹 华润万家等
165,鸿翔花园 不限购 不限贷 实用温馨小户 适合小家庭过渡选择
398,信义御城 精装三房，东南向看梧桐山景，红本在手过户快！
200,中海康城国际 精装一房 满五且唯.一 红本在手 看花园 可改两房
390,远洋新干线 双地铁站附近交通方便周边配套实施齐全满五少税
230,乐城 龙岗区横岗荷坳地铁站 精装2房 看房方便
240,恒丰公寓 73平标准大两房，南北通透，安静，看房有钥匙！
425,钰龙园 2房2厅65平诚心放卖
560,紫薇花园 万科广场旁 紫薇花园 近邻地铁站 复式精装5房
320,星海名城六期 朝南刚需小两房 宜居舒适环境 高楼层 视野无阻挡
530,宏发嘉域 深圳6号线地铁100米大5房2厅3卫，红本在手
1500,红树西岸 高尔夫景 海景 豪装2房 红本在手满五年税费少
260,桃源居三区 桃源居三区 业主诚心出售 朝东看花园安静
330,皇御苑四期 深港一号全天通关关口物业，过度优选物业
520,诺德国际 高楼层 安静不吵，正南向看花园，南山双实验学校
295,中海康城国际 精装2房 满2年 税费少 业主自住保养好
298,信义御城 精装2房，满两年，高楼层，保养好
420,万象新天 零地铁正规3房精装修香格丽湾拎包住 小区环境好
320,中海康城国际 大运新城 京基御景旁 高拓两房 赠送10来平 
350,振业天峦 在售样板房户型，毛坯任意改动，红本在手。
370,颐安都会中央 精装两房 红本在手 诚心出售 看房方便
415,星海名城五期 精装两房 满2年 环境优美 出行方便 楼下有天虹
105,布吉阳光花园 小区稀有单间，居家或者买卖宜选
518,菁英趣庭 宝安体育馆旁花园社区 精装大两房 交通完善
585,乐城 地 铁口 121平少有户型放售，新装修4房还没住过
238,英郡年华花园 丹竹头站复式精装2房2厅，采光好，通风。
420,桃源村一期 74平 三房 南北通透 小区中间位置 红本 满五年
150,怡康家园 红本在手 满五年 光线好 采光十足 费用少 急售
435,金地梅陇镇 2+1户型 2房的价格拥有三房 朝花园保养好
580,乐城 龙岗大运新城 地下三层停车库 自带后山花园 四房
380,京基御景印象家园四期 朝南4房 南北通透 正出阳台 商 业 心 地 铁口
135,金众蓝钻 首付40万买深圳坪山高铁站盘 金众物业住宅 
543,信义御城 精装4房 朝南看花园 正出阳台 满2年 拎包入住
338,南岭花园 成熟社区，住家方便
280,东城国际 天虹商场楼上 81平三房两厅 看房有钥匙
390,诺德国际 前海深港合作区 新社区管理绿化好 荔林公园送10平
150,金众蓝钻 跃式 可改两房 满两年 朝东南
165,远洋新干线 精装公寓 不限购不限贷 业主急卖
285,华盛盛荟名庭 ，不限购，不限贷，精装2房，诚心出售。
380,富盈门 电梯精装大二房 红本无税 带平台
385,南山豪庭 全新装修大两房无税看房有钥匙
515,金地梅陇镇 花园中间位置 安静舒适 朝正南 高楼层 满五年
405,信义御城 高楼层 朝花园 精装大三房 欢迎品鉴
370,中海康城国际 精3房2卫 满五带车位 采光好 急售、
190,富通城三期 190万元 生活立方 精致装修 1室1厅 
398,光彩新世纪家园 高层2房 阳光足 红本无税
300,布吉阳光花园 高层 精装两房 满五年 无税
375,保利上城 吉祥地铁站带深中附小、豪装三房让小孩子上个好学校
410,信义御城 精装修三房两卫，中间楼层，满两年少税， 随时可看
405,山湖居一期 畔山物业 豪华装修 小三房 采光好 非常实用
497,星海名城一期 星海名城大社区 南向安静2房 税费少 价格可谈 
200,中海康城国际 精装一房 满五年 费用少 中间楼层 朝南 看房方便
630,东方沁园 大复式，超正六房，大阳台
405,信义御城 东南向三房 中间楼层 保养好 诚意出售
310,富通御岭公馆 地铁碧头站物业，精装三房，满五年，红本在手，无税！
325,中海康城国际 满5年 红本在手 刚需3房 自己装修 诚意出售！
480,华盛盛荟名庭 西南朝向毛坯三房 红本在手满2年 看房方便
280,东方明珠城 两房改三房，满五年 唯/一产权，红本在手
198,万科清林径 精装一房一厅，带大阳台可做两房实用高
428,远洋新干线 4房2厅106.74平精装装修南
430,诺德国际 专业设计师精心打造优美精致2房年轻人喜爱可做婚房
295,中海康城国际 2房2厅 69平 精装装修 南
315,大世纪水山缘 精装3房79平方满两年售价315万
445,阳光花地苑 中海开发物业 前海森氧美境 阳台直面俯瞰 绿意天幕
88,金众蓝钻 单间 36.33平 精装修 西南
270,桃源居三区 精装修，理想过渡房，近学校、近地铁！！！
305,大世纪水山缘 原始户型三房 现已改大两房居住 诚意出售 有钥匙
450,碧水龙庭 毛胚三房 户型方正 交通便利
600,信义御城 精装大四房 地铁站 楼下就是天虹 居住安静 随时看
179,金众蓝钻 性价比高，户型方正，客厅出阳台，采光通透，精致装
240,蓝堡公寓 带翠园 交通方便 户型方正
515,诺德国际 精装2房 带实验学校 社区新 环境好 超高赠送
105,远洋新干线 南联地铁站步行俩百米+精装复式+即买即赚月租抵月供
750,振业城上观 振业上观精装4房，南北通透，楼层好，安静看花园
1480,宝能太古城花园北区 价格可谈，有钥匙，二楼的阳台推出去了，3+1房2卫
310,六和城 业主稳定急卖，价格有空间，可以看房，高楼层，
280,金众云山栖 3房两厅 读人大附中学校 看房方便 楼层佳 
345,东城上邸 坪山CBD 成熟小区 东城上邸大五房赠送大阳台大
98,远洋新干线 精装一房 中间楼层 中间位正南朝向 无遮挡
210,国展苑 电梯2房，中高楼层，看罗湖视野无遮挡，少有户型放卖
660,金地梅陇镇 精装大四房，户型方正，看房方便
498,鸿荣源尚峰 品质大盘，次新房，高层视野，石芽岭绿景怡人
850,第五大道一期 刚刚放出来的三房 豪华欧式装修 业主诚心放卖
255,东城上邸 高楼层 卧室出阳台 带装修 两房 
130,金众蓝钻 坪山高铁旁精装1房1厅出售
1200,世界花园海华居 业主诚心放卖，稀有户型，看房方便
960,中海康城国际 阔气四房 南北通透 安静舒适 
350,万科清林径 精装4房2厅 南北通透 景观亮丽 满2年少税 
360,中海康城国际 安家优选厅出阳台安静三房户型方正
560,中粮锦云花园 12号线地铁物业 自住房 装修保养好
1800,十二橡树庄园二期 坂田地铁站 豪装空中别墅 业主回老家 忍痛割爱
250,西乡物业大厦 居家两房 无税 送花园平台仅售250万
333,睿智华庭 高端物业 双拼结构 十米阳台 高实用率 随时看房！
360,金地名峰 精装复式4房+朝北+满两年+业主诚心出售！
